paper_title,authors
A Robust Shear-Based Optical Tactile Sensor for Quadruped-Mounted Manipulation,"Assylkhan Seitzhanov, Jabrail Chumakov, Zhanat Kappassov"
NeuralTouch: Leveraging Implicit Neural Descriptor for Precise Sim-to-Real Tactile Robot Control,"Yijiong Lin, chenghua lu, Max Yang, Efi Psomopoulou, Nathan F. Lepora"
TactileLab: Efficient Shear-Sensitive Tactile Simulation for Dexterous Sim2Real Robotic Manipulation,"Yijiong Lin, Nathan F. Lepora"
roto 2.0: The Robot Tactile Olympiad,"Elle Miller, Jayaram Reddy, Ayush Deshmukh, Trevor McInroe, David Abel, Oisin Mac Aodha, Sethu Vijayakumar"
Automatic Physically-Based Sim2Real for Tactile Images through Differentiable Path-Tracing Rendering,"Guillaume Duret, Anna Samsonenko, Florence Zara, Jan Peters, Liming Chen"
Real-Time Simulation of Deformable Tactile Sensors and Objects in Robotic Grasping using Graph Neural Networks with Inductive Biases,"Guillaume Duret, Frederik Heller, Danylo Mazurak, Tim Schneider, Alap Kshirsagar, Florence Zara, Jan Peters, Liming Chen"
3D deformable surface reconstruction from visual and tactile input with geometric prior,"Ioan Laurentiu Popa, Tudor Brezae, Paul-Stelian Sucală, Konievic Robert-Anton, Levente Tamas"
"GelSLAM: A Real-time, High-Fidelity, and Robust 3D Tactile SLAM System","Hung-Jui Huang, Mohammad Amin Mirzaee, Michael Kaess, Wenzhen Yuan"
Dual-Axis State Space Models Meet Gated Linear Attention for Efficient Diffusion Imitation Learning,"Yingzhao Li, Wujie Chen, Wei Zhang, Yanjie Liu, lijun zhao"
Characterisation of a Monolithic 3D-printed Tactile Sensor Using an SSIM-based Analysis,"XIAOQING GUO, Nathan F. Lepora, Efi Psomopoulou"
Grip force regulation via low-dimensional incipient slip estimation,"Laurence Willemet, Giuseppe Vitrani, Michael Wiertlewski"
One-touch friction estimation at the onset of grasp,"Giuseppe Vitrani, Laurence Willemet, Michael Wiertlewski"
Nerves of Plastic: A Transparent Approach To Distributed Tactile Sensing for Safer Robots,"Laura E. Butcher, Christopher J. Ford, Nathan F. Lepora, Efi Psomopoulou"
Low-Cost Gating-Based Vision and Proprioception Fusion for Object Property Classification,"Jiaming Zhu, Kaitao Meng"
Development of a High-Speed Event Vision-Based Roller Tactile Sensor for Large-Surface Inspection,"Akram Khairi, Hussain Sajwani, Yahya Zweiri"
Learning Heterogeneous Tactile Representations with Graph Neural Networks for Dexterous Manipulation,"Tai Yamada, Satoshi Funabashi, Steven Oh, Pranav Ponnivalavan, Kazutaka Omori, Tetsuya Ogata, Shigeki SUGANO"
ViTacGen: Robotic Pushing with Vision-to-Touch Generation,"Zhiyuan Wu, Shan Luo"
ViTac-Tracing: Visual-Tactile Imitation Learning of Deformable Object Tracing,"Yongqiang Zhao, Shan Luo"
"UniVTAC: A Unified Simulation Platform for Visuo-Tactile Manipulation Data Generation, Learning, and Benchmarking","Baijun Chen, Weijie Wan, Tianxing Chen, Xianda Guo, Congsheng Xu, Yuanyang Qi, Haojie Zhang, Longyan Wu, Tianling Xu, Zixuan Li, Yizhe Wu, Rui Li, Xiaokang Yang, Ping Luo, Wei Sui, Yao Mu"
EleTac: Pneumatic Elephant Trunk-Inspired Soft Gripper with Vision-Based Tactile Sensing,"Tuan Tai Nguyen, Xuyang Zhang, Quan Khanh Luu, Shan Luo, Van Ho"
